127.0.0.1 - - [19/Nov/2024:23:49:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:49:27 +0900] "GET /WebProject/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:49:27 +0900] "GET /WebProject/login.jsp HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:49:29 +0900] "GET /WebProject/register.jsp HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:49:30 +0900] "GET /WebProject/login.jsp HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:49:35 +0900] "POST /WebProject/login.jsp HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:52:10 +0900] "POST /WebProject/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:52:10 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:55:49 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:55:52 +0900] "POST /WebProject/submitRoom.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:56:15 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:56:36 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:56:41 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:56:44 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:56:46 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:56:59 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:57:34 +0900] "POST /WebProject/submitRoom.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:57:37 +0900] "POST /WebProject/submitRoom.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:57:39 +0900] "POST /WebProject/submitRoom.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Nov/2024:23:58:06 +0900] "GET /WebProject/main.jsp HTTP/1.1" 200 2199
